dateTime,open,high,low,close,adjClose,vol,openInterest
1263495600000,1.44920,1.45197,1.44876,1.45103,1.45103,2127,0
1263499200000,1.45104,1.45144,1.44918,1.45025,1.45025,1479,0
1263502800000,1.45028,1.45080,1.44970,1.44979,1.44979,983,0
1263506400000,1.44980,1.45062,1.44969,1.44989,1.44989,1012,0
1263510000000,1.44988,1.45025,1.44956,1.44978,1.44978,562,0
1263513600000,1.44978,1.45108,1.44958,1.44992,1.44992,737,0
1263517200000,1.44991,1.45025,1.44725,1.44737,1.44737,1339,0
1263520800000,1.44737,1.44777,1.44286,1.44382,1.44382,1964,0
1263524400000,1.44377,1.44440,1.44096,1.44266,1.44266,2562,0
1263528000000,1.44265,1.44355,1.44209,1.44285,1.44285,1222,0
1263531600000,1.44283,1.44315,1.44064,1.44178,1.44178,1656,0
1263535200000,1.44174,1.44444,1.44102,1.44329,1.44329,1619,0
1263538800000,1.44331,1.44363,1.44105,1.44262,1.44262,1982,0
1263542400000,1.44261,1.44275,1.44085,1.44123,1.44123,2566,0
1263546000000,1.44122,1.44132,1.43830,1.44082,1.44082,3162,0
1263549600000,1.44081,1.44221,1.44023,1.44135,1.44135,1917,0
1263553200000,1.44134,1.44140,1.43861,1.43900,1.43900,2317,0
1263556800000,1.43797,1.43930,1.43792,1.43875,1.43875,1600,0
1263560400000,1.43877,1.43930,1.43674,1.43804,1.43804,2208,0
1263564000000,1.43803,1.43853,1.43593,1.43745,1.43745,3135,0
1263567600000,1.43744,1.43977,1.43667,1.43843,1.43843,3174,0
1263571200000,1.43844,1.43846,1.43558,1.43670,1.43670,3516,0
1263574800000,1.43675,1.43865,1.43675,1.43747,1.43747,2664,0
1263578400000,1.43743,1.43837,1.43700,1.43810,1.43810,1673,0
1263582000000,1.43805,1.43828,1.43727,1.43759,1.43759,1307,0
1263585600000,1.43762,1.43777,1.43365,1.43556,1.43556,2397,0
1263589200000,1.43557,1.43794,1.43549,1.43788,1.43788,1191,0
1263592800000,1.43793,1.43912,1.43781,1.43857,1.43857,1093,0
1263772800000,1.43480,1.43704,1.43469,1.43686,1.43686,1052,0
1263776400000,1.43687,1.43748,1.43348,1.43436,1.43436,1839,0
1263780000000,1.43437,1.43512,1.43349,1.43422,1.43422,1649,0
1263783600000,1.43423,1.43572,1.43423,1.43559,1.43559,1326,0
1263787200000,1.43558,1.43689,1.43536,1.43662,1.43662,1045,0
1263790800000,1.43660,1.43771,1.43654,1.43740,1.43740,1362,0
1263794400000,1.43742,1.43867,1.43720,1.43743,1.43743,1649,0
1263798000000,1.43744,1.43931,1.43666,1.43856,1.43856,1855,0
1263801600000,1.43859,1.43905,1.43689,1.43829,1.43829,1945,0
1263805200000,1.43830,1.43905,1.43693,1.43747,1.43747,2028,0
1263808800000,1.43745,1.43770,1.43652,1.43735,1.43735,1903,0
1263812400000,1.43738,1.43865,1.43734,1.43782,1.43782,1619,0
1263816000000,1.43783,1.43819,1.43682,1.43793,1.43793,1742,0
1263819600000,1.43796,1.43833,1.43722,1.43733,1.43733,1320,0
